query,time,httpCalls,errors
query_10174,94.679,6868,0
query_10175,49.853,3442,0
query_10176,0.323,6,0
query_10177,1.262,50,0
query_10179,0.266,6,0
query_1017,2.455,128,0
query_10180,18.157,1168,0
query_10181,0.401,8,0
query_10182,23.885,1075,0
query_10183,2.977,189,0
query_10184,0.449,8,0
query_10185,0.504,9,0
query_10186,0.938,49,0
query_10187,37.97,2333,0
query_10188,26.628,1312,0
query_1018,72.154,4452,0
query_10190,1.661,58,0
query_10191,216.003,15165,0
query_10192,0.257,4,0
query_10193,0.21,5,0
query_10195,25.464,1308,0
query_10196,18.554,1043,0
query_10199,0.46,12,0
query_1019,57.502,2649,0
query_101,5.363,229,0
query_10200,2.494,102,0
query_10201,0.289,3,0
query_10203,4.349,245,0
query_10205,4.529,286,0
query_10207,25.474,1547,0
query_10209,11.421,613,0
query_1020,24.63,1705,0
query_10210,0.288,6,0
query_10211,114.193,6322,0
query_10212,41.187,2742,0
query_10213,53.054,3360,0
query_10214,0.206,8,0
query_10215,0.188,1,0
query_10216,73.976,4571,0
query_10217,0.19,1,0
query_10218,35.083,1904,0
query_10219,214.074,15165,0
query_1021,4.501,205,0
query_10220,22.246,1087,0
query_10221,70.296,4219,0
query_10222,1.801,107,0
query_10225,253.901,15157,0
query_10226,7.586,368,0
query_10227,0.188,2,0
query_10229,3.848,180,0
query_1022,5.924,253,0
query_10230,260.504,12159,0
query_10231,0.197,5,0
query_10232,0.276,6,0
query_10234,25.492,1375,0
query_10235,27.954,1648,0
query_10236,1.37,61,0
query_10237,178.605,9727,0
query_10238,56.885,3408,0
query_1023,46.151,2164,0
query_10240,104.013,6762,0
query_10241,213.648,11926,0
query_10242,1.439,63,0
query_10243,27.099,1312,0
query_10246,0.18,1,0
query_10248,33.816,1970,0
query_10251,0.179,1,0
query_10253,73.524,3934,0
query_10254,25.043,1287,0
query_10255,0.284,5,0
query_10256,2.85,113,0
query_10257,57.482,3608,0
query_10258,0.216,5,0
query_10259,19.427,1135,0
query_1025,0.378,10,0
query_10261,0.253,3,0
query_10263,63.295,3934,0
query_10266,135.905,7477,0
query_10268,63.304,3365,0
query_1026,1.577,74,0
query_10271,169.066,7313,0
query_10272,0.19,1,0
query_10273,28.122,1970,0
query_10274,0.419,7,0
query_10277,60.996,3458,0
query_10279,0.363,7,0
query_1027,18.212,887,0
query_10280,3.872,209,0
query_10281,0.301,6,0
query_10282,0.2,5,0
query_10283,0.281,6,0
query_10284,56.966,3608,0
query_10285,20.129,1180,0
query_10286,0.594,14,0
query_10287,28.211,1591,0
query_10288,178.973,9727,0
query_1028,0.34,4,0
query_10291,59.541,4216,0
query_10292,135.542,6677,0
query_10293,57.554,3533,0
query_10295,5.13,194,0
query_10297,78.401,4556,0
query_10298,32.63,1589,0
query_10299,28.671,1285,0
query_102,92.96,4129,0
query_10300,0.195,1,0
query_10301,48.97,3230,0
query_10302,32.19,1580,0
query_10303,0.251,3,0
query_10304,190.831,9234,0
query_10307,8.344,426,0
query_10308,121.894,6759,0
query_10309,0.272,3,0
query_1030,10.784,663,0
query_10310,16.842,939,0
query_10311,0.296,6,0
query_10313,0.343,10,0
query_10314,5.175,202,0
query_10315,20.968,1176,0
query_10316,16.693,863,0
query_10317,52.068,2613,0
query_10318,72.67,3902,0
query_10319,4.097,192,0
query_1031,39.395,1846,0
query_10320,0.193,3,0
query_10322,40.508,1830,0
query_10323,32.426,1902,0
query_10324,65.574,3309,0
query_10326,0.722,18,0
query_10327,93.876,6185,0
query_1032,79.894,4093,0
query_10330,50.768,2276,0
query_10331,48.056,2522,0
query_10332,33.039,1801,0
query_10335,29.457,1140,0
query_10337,0.244,4,0
query_10338,0.197,8,0
query_10339,2.523,100,0
query_1033,3.901,122,0
query_10340,39.489,1647,0
query_10341,6.481,362,0
query_10343,22.462,1250,0
query_10344,5.28,350,0
query_10345,193.957,10100,0
query_10346,1.608,69,0
